"bodyname","avgarea","maxareaerror","trueperih","calcperih","periherror","trueaph","calcaph","apherror"
"C/2017 K2 PANSTARRS","364993488509365.0","0.07649182170102578","17847358379.905376","17847063206.132618","0.0016538793387531497","268754329.0155573","268853784.14756006","0.03700596465443866"
"C/2020 V2 ZTF","406312157646796.3","0.12907103523719715","17836605668.326546","17836244885.320282","0.0020227111198875434","398320148.5037837","398123431.7737761","0.04938658783556871"
"C/2022 A2 PANSTARRS","359190665753696.94","0.09968520575696216","17880009618.062435","17880685812.22247","0.0037818444982886724","277343113.5534785","277044830.4879721","0.10755019718522142"
"C/2022 E3 ZTF","288195733450839.25","0.3102783809651185","17807569687.43238","17808193839.70442","0.0035049828976831073","170072814.06805032","169793155.3515781","0.16443469698827937"
"C/2019 L3 ATLAS","513576881553703.94","0.18409366847041808","17483889374.963364","17483678021.83107","0.0012088450559310637","532556131.34451514","532169978.31259143","0.07250935801805755"
"C/2020 K1 PANSTARRS","477299819093100.06","0.046645991683376284","17641356157.853077","17640893835.944523","0.0026206710210783532","496670631.1833083","496515243.140628","0.03128593335791047"
"C/2019 U5 PANSTARRS","519034244355070.3","0.09402205469095563","17623547252.88144","17623123884.810722","0.002402286353830597","556577365.4042332","556172091.246854","0.0728154220006639"
"C/2019 T4 ATLAS","561290966986015.8","0.026745262865405708","17285638501.71492","17285522004.475048","0.0006739539292136706","635871183.3412776","635792584.8404379","0.012360758420707631"
"C/2021 T4 LEMMON","330870189502233.1","0.08062007155024302","17967529087.32145","17967442521.67378","0.0004817893837824911","464250528.68517816","463668881.0137709","0.12528745482629589"
"C/2021 Y1 ATLAS","387667599995073.5","0.05633584938835819","17862212872.693295","17862021722.634552","0.0010701364948726047","371277041.82041323","370681114.8998207","0.16050734450766185"
"C/2021 S3 PANSTARRS","313484363621401.0","0.05811573327526491","18060738698.219585","18060825774.257774","0.00048212888544541216","760647488.3211304","759732084.5944653","0.12034532956725859"
"P/2013 R3-A CATALINA-PANSTARRS","321827651633804.94","0.638678095009179","579618441.1420165","580131346.7951806","0.08849022335339368","324112613.9003937","324897575.99336535","0.24218807269650341"
"C/2022 L2 ATLAS","447399743095633.0","0.026744701154264687","17873583470.429024","17873167801.589817","0.0023256043752748266","753858124.0599297","753204891.0730805","0.08665197946414364"
